Clock registers
NRF_CLOCK->TASKS_HFCLKSTART      40000000: 00000000
NRF_CLOCK->TASKS_HFCLKSTOP       40000004: 00000000
NRF_CLOCK->TASKS_LFCLKSTART      40000008: 00000000
NRF_CLOCK->TASKS_LFCLKSTOP       4000000c: 00000000
NRF_CLOCK->TASKS_CAL             40000010: 00000000
NRF_CLOCK->TASKS_CTSTART         40000014: 00000000
NRF_CLOCK->TASKS_CTSTOP          40000018: 00000000
NRF_CLOCK->EVENTS_HFCLKSTARTED   40000100: 00000001
NRF_CLOCK->EVENTS_LFCLKSTARTED   40000104: 00000001
NRF_CLOCK->EVENTS_DONE           4000010c: 00000000
NRF_CLOCK->EVENTS_CTTO           40000110: 00000000
NRF_CLOCK->INTENSET              40000304: 00000000
NRF_CLOCK->INTENCLR              40000308: 00000000
NRF_CLOCK->HFCLKRUN              40000408: 00000001
NRF_CLOCK->HFCLKSTAT             4000040c: 00010001
NRF_CLOCK->LFCLKRUN              40000414: 00000001
NRF_CLOCK->LFCLKSTAT             40000418: 00010000
NRF_CLOCK->LFCLKSRCCOPY          4000041c: 00000000
NRF_CLOCK->LFCLKSRC              40000518: 00000000
NRF_CLOCK->CTIV                  40000538: 00000001
NRF_CLOCK->XTALFREQ              40000550: ffffffff

Radio registers
NRF_RADIO->TASKS_TXEN        40001000: 00000000
NRF_RADIO->TASKS_RXEN        40001004: 00000000
NRF_RADIO->TASKS_START       40001008: 00000000
NRF_RADIO->TASKS_STOP        4000100c: 00000000
NRF_RADIO->TASKS_DISABLE     40001010: 00000000
NRF_RADIO->TASKS_RSSISTART   40001014: 00000000
NRF_RADIO->TASKS_RSSISTOP    40001018: 00000000
NRF_RADIO->TASKS_BCSTART     4000101c: 00000000
NRF_RADIO->TASKS_BCSTOP      40001020: 00000000
NRF_RADIO->EVENTS_READY      40001100: 00000001
NRF_RADIO->EVENTS_ADDRESS    40001104: 00000001
NRF_RADIO->EVENTS_PAYLOAD    40001108: 00000001
NRF_RADIO->EVENTS_END        4000110c: 00000000
NRF_RADIO->EVENTS_DISABLED   40001110: 00000001
NRF_RADIO->EVENTS_DEVMATCH   40001114: 00000000
NRF_RADIO->EVENTS_DEVMISS    40001118: 00000000
NRF_RADIO->EVENTS_RSSIEND    4000111c: 00000001
NRF_RADIO->EVENTS_BCMATCH    40001128: 00000000
NRF_RADIO->SHORTS            40001200: 00000010
NRF_RADIO->INTENSET          40001304: 00000008
NRF_RADIO->INTENCLR          40001308: 00000008
NRF_RADIO->CRCSTATUS         40001400: 00000000
NRF_RADIO->RXMATCH           40001408: 00000000
NRF_RADIO->RXCRC             4000140c: 00000000
NRF_RADIO->DAI               40001410: 00000000
NRF_RADIO->PACKETPTR         40001504: 20002c78
NRF_RADIO->FREQUENCY         40001508: 00000007
NRF_RADIO->TXPOWER           4000150c: 00000000
NRF_RADIO->MODE              40001510: 00000000
NRF_RADIO->PCNF0             40001514: 00000008
NRF_RADIO->PCNF1             40001518: 02040020
NRF_RADIO->BASE0             4000151c: 75626974
NRF_RADIO->BASE1             40001520: 00000000
NRF_RADIO->PREFIX0           40001524: 00000000
NRF_RADIO->PREFIX1           40001528: 00000000
NRF_RADIO->TXADDRESS         4000152c: 00000000
NRF_RADIO->RXADDRESSES       40001530: 00000001
NRF_RADIO->CRCCNF            40001534: 00000002
NRF_RADIO->CRCPOLY           40001538: 00011021
NRF_RADIO->CRCINIT           4000153c: 0000ffff
NRF_RADIO->TEST              40001540: 00000000
NRF_RADIO->TIFS              40001544: 00000000
NRF_RADIO->RSSISAMPLE        40001548: 00000036
NRF_RADIO->STATE             40001550: 00000003
NRF_RADIO->DATAWHITEIV       40001554: 00000058
NRF_RADIO->BCC               40001560: 00000000
NRF_RADIO->DAB[8]            40001620: 00000000
NRF_RADIO->DAP[8]            40001640: 00000000
NRF_RADIO->DACNF             40001640: 00000000
NRF_RADIO->OVERRIDE0         40001724: 00000000
NRF_RADIO->OVERRIDE1         40001728: 00000000
NRF_RADIO->OVERRIDE2         4000172c: 00000000
NRF_RADIO->OVERRIDE3         40001730: 00000000
NRF_RADIO->OVERRIDE4         40001734: 00000000
NRF_RADIO->POWER             40001ffc: 00000001

